LineNum,State,Colonies at start of Month Range,Maximum Colonies ,Lost Colonies,Percent Lost Colonies,Added Colonies,Renovated Colonies,Percent Renovated,Month Range,Year
0,Alabama,5500,5500,650,12,800,200,4,January-March,2019
1,Arizona,22000,22000,2500,11,430,90,0,January-March,2019
2,Arkansas,28000,28000,6500,23,20,20,0,January-March,2019
3,California,1140000,1580000,235000,15,83000,86000,5,January-March,2019
4,Colorado,5000,7500,320,4,0,0,0,January-March,2019
5,Connecticut,3100,3100,270,9,170,10,0,January-March,2019
6,Florida,300000,315000,46000,15,41000,16500,5,January-March,2019
7,Georgia,120000,129000,14500,11,19500,8000,6,January-March,2019
8,Hawaii,16500,16500,390,2,660,3700,22,January-March,2019
9,Idaho,132000,145000,12500,9,4600,1100,1,January-March,2019
10,Illinois,9000,9000,2300,26,210,80,1,January-March,2019
11,Indiana,6000,6000,710,12,440,280,5,January-March,2019
12,Iowa,7500,11500,1600,14,170,140,1,January-March,2019
13,Kansas,4500,4500,1500,33,370,110,2,January-March,2019
14,Kentucky,3700,4400,890,20,60,30,1,January-March,2019
15,Louisiana,49000,51000,3500,7,9000,16000,31,January-March,2019
16,Maine,7000,7000,470,7,10,30,0,January-March,2019
17,Maryland,8000,8000,2300,29,30,10,0,January-March,2019
18,Massachusetts,3800,3800,680,18,60,20,1,January-March,2019
19,Michigan,24000,33000,6500,20,0,0,0,January-March,2019
20,Minnesota,17000,43000,2200,5,80,470,1,January-March,2019
21,Mississippi,26000,29000,2400,8,3800,1700,6,January-March,2019
22,Missouri,8500,8500,1100,13,80,60,1,January-March,2019
23,Montana,37000,68000,3500,5,1700,1900,3,January-March,2019
24,Nebraska,13500,16500,2500,15,0,0,0,January-March,2019
25,New Jersey,6000,6000,310,5,130,60,1,January-March,2019
26,New Mexico,4800,4800,170,4,0,0,0,January-March,2019
27,New York,24000,24000,3400,14,110,80,0,January-March,2019
28,North Carolina,10500,14500,1700,12,750,890,6,January-March,2019
29,North Dakota,92000,102000,1100,1,0,1300,1,January-March,2019
30,Ohio,10500,12500,3500,28,1700,440,4,January-March,2019
31,Oklahoma,21000,55000,50,0,20,0,0,January-March,2019
32,Oregon,89000,95000,7500,8,8000,1800,2,January-March,2019
